AX,AY,AZ,GX,GY,GZ
0.536422,-0.112511635,0.5902236,-0.48624873,-0.39774963,0.23785566
0.65583444,-0.014298439,-0.42273232,-0.49480084,-0.43256894,0.25740334
0.33601198,0.9197035,1.7614226,-0.49174652,-0.4618905,0.2897792
0.13279606,1.02071,-0.21281935,-0.49602258,-0.44356453,0.31482467
-0.13548312,1.4260406,0.8938824,-0.49235737,-0.40569088,0.3300963
-0.3221085,1.268609,-1.1322026,-0.4886922,-0.38736492,0.34109187
-0.6042285,2.2483816,2.07522,-0.46975538,-0.3635412,0.35208747
-0.29242125,1.5924654,-1.0605828,-0.4550946,-0.3635412,0.35697436
-0.2810884,2.083293,1.2341089,-0.40561453,-0.39041924,0.36125043
0.12160146,1.5875092,-0.9769577,-0.3286455,-0.43623415,0.35941783
0.20732072,1.836133,1.0487634,-0.28344148,-0.45944703,0.34903312
0.20175928,1.8357115,1.0399147,-0.19120082,-0.4631122,0.32520938
0.562128,1.3635798,1.0633221,-0.14355333,-0.42279512,0.30810517
0.7615806,0.9512453,-0.11422947,-0.054367006,-0.29145908,0.26900977
0.7612959,0.95095634,-0.12502843,0.020158553,-0.17234036,0.22014056
0.76176953,0.95081997,-0.13175091,0.048258353,-0.12835807,0.19509509
0.418564,0.8189182,1.626287,0.0842994,-0.054443367,0.13828462
0.4216728,0.81892395,1.6219022,0.07819075,-0.012904529,0.07658723
0.12293461,0.5268812,1.2312164,0.052534413,-0.03611741,0.013057245
0.13383695,0.5274706,1.24262,0.040927973,-0.048334714,-0.02115121
0.13844737,0.5278435,1.2521812,0.021380283,-0.038560867,-0.09017898
0.04507351,0.61164,0.56504536,0.018936822,-0.007406741,-0.12560916
-0.045147598,0.37487888,0.758845,0.034208454,0.074449204,-0.19646953
0.03819105,0.5353823,0.44079053,0.054367006,0.11965323,-0.23006712
0.091146246,0.32251358,0.68121105,0.21013765,0.30779973,-0.34613153
0.3449287,0.5812855,0.3088405,0.21013765,0.30779973,-0.34613153
0.4992618,0.2197876,0.17225713,0.26145032,0.33712125,-0.3693444
0.61029744,0.10011196,0.23556587,0.33475417,0.33040175,-0.4011094
